Start Time:  5/4/2017 11:55:08 PM         Time Completed:  5/4/2017 11:55:29 PM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0123B\FORCexp0123B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#245.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#245.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0123B\FORCexp0123B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#245.dat

***DATA***

Field(G)	 Moment(emu)	
-1559.88 	-0.00428337 	
-1559.6 	-0.00427663 	
-1548.21 	-0.00429639 	
-1531.82 	-0.0042207 	
-1512.72 	-0.00420868 	
-1491.77 	-0.00436711 	
-1466.56 	-0.0044496 	
-1446.05 	-0.00432915 	
-1423.45 	-0.00420447 	
-1400.39 	-0.00409165 	
-1377.61 	-0.00423348 	
-1354.03 	-0.00443891 	
-1331.63 	-0.00419475 	
-1305.67 	-0.00392392 	
-1283.2 	-0.00379315 	
-1260.43 	-0.00420205 	
-1238.04 	-0.00436368 	
-1216.32 	-0.00427653 	
-1192.93 	-0.00411447 	
-1169.75 	-0.00391402 	
-1147.03 	-0.00408552 	
-1120.47 	-0.00398229 	
-1099.8 	-0.00411828 	
-1076.73 	-0.00395696 	
-1053.38 	-0.00393402 	
-1030.73 	-0.00417877 	
-1004.99 	-0.00423181 	
-983.201 	-0.0043975 	
-960.597 	-0.00420807 	
-938.128 	-0.00405042 	
-914.865 	-0.00426526 	
-893.014 	-0.00434721 	
-871.081 	-0.00409855 	
-847.859 	-0.00418273 	
-824.473 	-0.00409308 	
-801.385 	-0.00375477 	
-773.858 	-0.00363421 	
-753.778 	-0.0036888 	
-732.464 	-0.00377155 	
-709.575 	-0.00391107 	
-686.273 	-0.00383634 	
-663.229 	-0.00357592 	
-641.658 	-0.00364625 	
-619.768 	-0.00385559 	
-596.466 	-0.00381699 	
-572.99 	-0.00351867 	
-549.224 	-0.00337665 	
-524.305 	-0.00361088 	
-501.818 	-0.00347886 	
-479.372 	-0.00325554 	
-457.205 	-0.00344581 	
-434.75 	-0.00336801 	
-409.896 	-0.00365675 	
-387.956 	-0.00374825 	
-365.385 	-0.00373634 	
-342.388 	-0.00349445 	
-319.391 	-0.00331044 	
-296.806 	-0.00316787 	
-275.075 	-0.00306864 	
-251.506 	-0.00299379 	
-228.738 	-0.0033369 	
-206.006 	-0.0035422 	
-179.21 	-0.00326394 	
-158.632 	-0.00303256 	
-136.384 	-0.00301423 	
-113.628 	-0.00321117 	
-90.5092 	-0.00321216 	
-68.0501 	-0.00306577 	
-46.6522 	-0.00314983 	
-24.3894 	-0.00301547 	
 2.77272 	-0.00299897 	
 25.2581 	-0.00302754 	
 47.5341 	-0.00290896 	
 68.3944 	-0.00295294 	
 92.2455 	-0.00268814 	
 115.406 	-0.00273249 	
 138.794 	-0.00281447 	
 161.704 	-0.00278509 	
 183.61 	-0.00268298 	
 206.753 	-0.0028018 	
 233.448 	-0.00245997 	
 255.389 	-0.00225635 	
 277.135 	-0.00238704 	
 297.946 	-0.00246973 	
 320.379 	-0.0023738 	
 343.682 	-0.00217434 	
 367.108 	-0.00199445 	
 390.245 	-0.00222634 	
 416.244 	-0.00243542 	
 436.377 	-0.00212491 	
 462.227 	-0.00165846 	
 483.579 	-0.00154155 	
 505.25 	-0.0015596 	
 527.547 	-0.00179431 	
 548.83 	-0.00176408 	
 572.027 	-0.00160286 	
 595.44 	-0.00133102 	
 622.456 	-0.00121728 	
 643.358 	-0.00113588 	
 664.476 	-0.0010527 	
 687.334 	-0.000917605 	
 710.12 	-0.000663028 	
 733.199 	-0.000658083 	
 759.487 	-0.00039801 	
 779.784 	-0.000000665859 	
 802.077 	 0.000108712 	
 825.249 	 0.000254702 	
 846.899 	 0.000484603 	
 873.611 	 0.000799085 	
 894.412 	 0.00108658 	
 919.216 	 0.00144165 	
 940.624 	 0.00140724 	
 963.02 	 0.0015095 	
 985.4 	 0.00183287 	
 1007.95 	 0.00203462 	
 1030.73 	 0.00228449 	
 1054.17 	 0.00251175 	
 1076.83 	 0.00267346 	
 1103.07 	 0.00294228 	
 1120.88 	 0.00306849 	
 1144.26 	 0.00294669 	
 1167.99 	 0.00322784 	
 1191.42 	 0.00342098 	
 1217.56 	 0.00342112 	
 1238.47 	 0.00357111 	
 1260.08 	 0.00355641 	
 1282.32 	 0.00384011 	
 1306.06 	 0.00382757 	
 1333.3 	 0.00397533 	
 1352.29 	 0.00392536 	
 1373.29 	 0.00412349 	
 1396.29 	 0.00401667 	
 1419.78 	 0.00399966 	
 1447.11 	 0.00398659 	
 1468.33 	 0.00426508 	
 1490.03 	 0.00411674 	
 1512.49 	 0.00415381 	
 1534.54 	 0.0043035 	
 1557.97 	 0.00439868 	
 1579.29 	 0.00427638 	
 1602 	 0.0041018 	
 1625.56 	 0.00420733 	
 1649.07 	 0.00451314 	
 1671.72 	 0.0045439 	
 1696.44 	 0.0042566 	
 1717.77 	 0.00440058 	
 1739.72 	 0.00445207 	

	
	
