Start Time:  5/5/2017 12:39:43 AM         Time Completed:  5/5/2017 12:40:04 AM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0184B\FORCexp0184B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#367.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#367.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0184B\FORCexp0184B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#367.dat

***DATA***

Field(G)	 Moment(emu)	
-2964.84 	-0.00489737 	
-2964.79 	-0.00494841 	
-2958.53 	-0.00485311 	
-2944.62 	-0.00479272 	
-2927.33 	-0.00469835 	
-2907.5 	-0.00478836 	
-2886.52 	-0.00498693 	
-2865.44 	-0.00512005 	
-2842.56 	-0.0050836 	
-2819.5 	-0.0049298 	
-2796.3 	-0.00512318 	
-2768.55 	-0.00490246 	
-2746.19 	-0.00456318 	
-2723.63 	-0.00472917 	
-2700.87 	-0.00504268 	
-2677.96 	-0.00510116 	
-2655.04 	-0.00483297 	
-2633.14 	-0.00486707 	
-2610.49 	-0.00471238 	
-2587.2 	-0.00466426 	
-2563.78 	-0.00495836 	
-2537.35 	-0.00508343 	
-2516.25 	-0.00501441 	
-2493.75 	-0.0047166 	
-2470.96 	-0.00476847 	
-2447.88 	-0.00493051 	
-2425.66 	-0.00503216 	
-2403.74 	-0.00510328 	
-2380.16 	-0.00501589 	
-2356.67 	-0.00484595 	
-2333.83 	-0.00460315 	
-2307.2 	-0.00465531 	
-2286.67 	-0.0049898 	
-2263.74 	-0.00502059 	
-2240.97 	-0.0047821 	
-2218.03 	-0.00463207 	
-2191.05 	-0.00464111 	
-2173.89 	-0.00472077 	
-2151.26 	-0.00481971 	
-2128.68 	-0.0047463 	
-2101.44 	-0.00447657 	
-2078.09 	-0.00466287 	
-2057.21 	-0.00464534 	
-2034.87 	-0.00453707 	
-2012.35 	-0.00476945 	
-1988.92 	-0.00493413 	
-1961.9 	-0.0047886 	
-1941.34 	-0.0047687 	
-1919.3 	-0.00465155 	
-1896.94 	-0.00466348 	
-1873.78 	-0.00483131 	
-1850.54 	-0.00481846 	
-1829.72 	-0.00455777 	
-1806.71 	-0.00464583 	
-1783.1 	-0.00451707 	
-1759.87 	-0.00437987 	
-1736.56 	-0.0044488 	
-1711.72 	-0.004747 	
-1690.21 	-0.00486239 	
-1668.88 	-0.00495142 	
-1645.75 	-0.00462716 	
-1621.94 	-0.00468186 	
-1596.25 	-0.00456052 	
-1576.03 	-0.00455018 	
-1553.82 	-0.00472288 	
-1530.54 	-0.0047343 	
-1507.64 	-0.00456762 	
-1484.67 	-0.00440499 	
-1463.57 	-0.00433231 	
-1440.67 	-0.00461694 	
-1416.59 	-0.00474992 	
-1392.82 	-0.00472468 	
-1366.82 	-0.00453623 	
-1345.42 	-0.00477283 	
-1323.36 	-0.00445706 	
-1300.85 	-0.0042667 	
-1277.94 	-0.00430191 	
-1251.26 	-0.00426892 	
-1230.92 	-0.00429268 	
-1209.29 	-0.00440726 	
-1187.08 	-0.00425424 	
-1162.98 	-0.00427074 	
-1140.32 	-0.00434433 	
-1118.96 	-0.00425343 	
-1096.05 	-0.00439471 	
-1072.88 	-0.00450356 	
-1049.61 	-0.00437861 	
-1026.91 	-0.00422622 	
-1001.6 	-0.00443247 	
-979.718 	-0.0042462 	
-957.898 	-0.00404784 	
-934.347 	-0.00417305 	
-911.527 	-0.00399828 	
-890.356 	-0.00399638 	
-867.238 	-0.00376115 	
-843.821 	-0.00384238 	
-820.568 	-0.00415399 	
-797.512 	-0.00431002 	
-771.9 	-0.00421268 	
-750.75 	-0.00409142 	
-728.725 	-0.00394627 	
-705.722 	-0.00385865 	
-683.75 	-0.00366165 	
-660.036 	-0.0039864 	
-638.331 	-0.00420165 	
-614.741 	-0.00415839 	
-591.439 	-0.00388073 	
-568.364 	-0.00367413 	
-541.838 	-0.0036676 	
-520.813 	-0.00382021 	
-499.521 	-0.00384148 	
-477.508 	-0.00359873 	
-454.199 	-0.00357751 	
-430.725 	-0.00365396 	
-408.733 	-0.00366316 	
-386.185 	-0.00376448 	
-363.099 	-0.00386439 	
-339.659 	-0.00381137 	
-313.006 	-0.00361612 	
-292.058 	-0.00350619 	
-270.893 	-0.00344205 	
-248.29 	-0.00339724 	
-225.192 	-0.00348364 	
-201.959 	-0.00329758 	
-177.304 	-0.00347798 	
-158.189 	-0.00339895 	
-135.075 	-0.00329078 	
-111.939 	-0.00337612 	
-88.0789 	-0.00358799 	
-62.9941 	-0.00336528 	
-42.4921 	-0.00315562 	
-19.0932 	-0.00297232 	
 3.79316 	-0.00306268 	
 27.2864 	-0.00328558 	
 52.9654 	-0.0032258 	
 74.1655 	-0.00317612 	
 95.8903 	-0.00309563 	
 118.861 	-0.00326068 	
 141.754 	-0.00304048 	
 164.077 	-0.00294491 	
 185.52 	-0.00276334 	
 209.126 	-0.00308726 	
 232.372 	-0.00315973 	
 255.389 	-0.00268264 	
 281.342 	-0.00267317 	
 302.884 	-0.00279183 	
 324.282 	-0.00274692 	

	
	
