Start Time:  5/5/2017 7:35:50 AM          Time Completed:  5/5/2017 7:37:26 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0234B\FORCexp0234B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#467.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#467.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0234B\FORCexp0234B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#467.dat

***DATA***

Field(G)	 Moment(emu)	
-1254.65 	-0.00365054 	
-1248.17 	-0.00367412 	
-1238.93 	-0.00366666 	
-1228.48 	-0.00367893 	
-1218.35 	-0.00369819 	
-1208.11 	-0.0036824 	
-1198.2 	-0.00367595 	
-1187.84 	-0.00363103 	
-1177.88 	-0.00364129 	
-1168.01 	-0.00363788 	
-1157.6 	-0.00363342 	
-1147.62 	-0.00359701 	
-1137.82 	-0.00361931 	
-1127.66 	-0.00358883 	
-1117.23 	-0.00361119 	
-1107.31 	-0.0035696 	
-1097.54 	-0.00359384 	
-1087.15 	-0.00354702 	
-1076.97 	-0.00354849 	
-1067.05 	-0.00355992 	
-1056.86 	-0.00355234 	
-1046.73 	-0.00350977 	
-1036.87 	-0.00349283 	
-1026.44 	-0.00353156 	
-1016.62 	-0.00350164 	
-1006.34 	-0.00351297 	
-996.398 	-0.00348557 	
-986.418 	-0.00347064 	
-976.411 	-0.00347128 	
-966.016 	-0.00348246 	
-956.016 	-0.00344694 	
-946.095 	-0.00345274 	
-935.748 	-0.00343765 	
-925.916 	-0.0034571 	
-915.803 	-0.00339933 	
-905.645 	-0.00341071 	
-895.545 	-0.00341881 	
-885.603 	-0.00340187 	
-875.572 	-0.00336732 	
-865.047 	-0.00333873 	
-855.102 	-0.00336477 	
-845.126 	-0.00333776 	
-835.246 	-0.00333408 	
-825.143 	-0.00336334 	
-814.662 	-0.00334588 	
-804.895 	-0.00332993 	
-794.96 	-0.00332274 	
-784.514 	-0.00326686 	
-774.575 	-0.00329154 	
-764.768 	-0.00327369 	
-754.496 	-0.00326353 	
-744.204 	-0.00326055 	
-734.411 	-0.00324601 	
-724.11 	-0.00327226 	
-714.138 	-0.00324095 	
-703.998 	-0.00320004 	
-693.982 	-0.00323141 	
-684.024 	-0.0031834 	
-673.953 	-0.00317419 	
-663.514 	-0.00320196 	
-653.659 	-0.00320597 	
-643.842 	-0.00315051 	
-633.472 	-0.00314371 	
-623.384 	-0.00310911 	
-613.398 	-0.00313761 	
-603.382 	-0.0031375 	
-593.002 	-0.00308367 	
-582.958 	-0.00312329 	
-573.312 	-0.00309922 	
-562.784 	-0.00307878 	
-552.899 	-0.00306013 	
-542.504 	-0.00307876 	
-532.797 	-0.00305683 	
-522.884 	-0.00304619 	
-512.377 	-0.00299164 	
-502.518 	-0.00301926 	
-492.544 	-0.00298464 	
-482.423 	-0.00301384 	
-472.189 	-0.00300175 	
-462.308 	-0.00296666 	
-452.184 	-0.00294709 	
-441.868 	-0.00294918 	
-431.984 	-0.00294225 	
-422.1 	-0.00295017 	
-411.736 	-0.00295028 	
-401.818 	-0.00291324 	
-391.443 	-0.00287368 	
-381.456 	-0.00285691 	
-371.736 	-0.00285147 	
-361.376 	-0.00283791 	
-351.31 	-0.00286301 	
-341.42 	-0.0028803 	
-331.307 	-0.00284912 	
-320.991 	-0.0028401 	
-311.172 	-0.00281619 	
-301.135 	-0.00277369 	
-290.76 	-0.00277977 	
-279.552 	-0.00275845 	
-267.094 	-0.00276071 	
-257.312 	-0.00275493 	
-247.225 	-0.00275192 	
-237.128 	-0.00272907 	
-227.096 	-0.00269232 	
-217.111 	-0.00263438 	
-206.823 	-0.0026417 	
-196.837 	-0.0026501 	
-186.797 	-0.00269173 	
-176.655 	-0.00265046 	
-166.505 	-0.00263868 	
-156.544 	-0.00259808 	
-146.599 	-0.00259042 	
-136.082 	-0.0026149 	
-126.011 	-0.00257837 	
-116.233 	-0.00255572 	
-106.038 	-0.00251932 	
-96.0254 	-0.00256959 	
-86.1292 	-0.00248707 	
-76.0237 	-0.00252623 	
-65.7401 	-0.00247147 	
-55.834 	-0.00249383 	
-45.8834 	-0.00244362 	
-35.5208 	-0.00243123 	
-25.4955 	-0.00236269 	
-15.6591 	-0.00237969 	
-5.46304 	-0.00232299 	
 4.50094 	-0.00235212 	
 15.018 	-0.00233294 	
 25.2362 	-0.00235943 	
 35.115 	-0.00238979 	
 45.3496 	-0.00228397 	
 55.2392 	-0.00228251 	
 65.043 	-0.00225504 	
 75.3256 	-0.00223326 	
 85.3815 	-0.00222711 	
 95.1524 	-0.00219718 	
 105.414 	-0.00223745 	
 115.532 	-0.00216753 	
 125.649 	-0.00215775 	
 135.551 	-0.00215912 	
 145.667 	-0.00214676 	
 156.048 	-0.00215185 	
 165.905 	-0.00206204 	
 175.885 	-0.00210848 	
 186.27 	-0.00202337 	
 196.078 	-0.0019696 	
 206.411 	-0.00197251 	
 216.264 	-0.00207072 	
 226.372 	-0.00199867 	
 236.52 	-0.00194999 	
 246.564 	-0.00191402 	
 256.45 	-0.00192655 	
 266.837 	-0.00189678 	
 276.907 	-0.00183441 	
 286.803 	-0.001884 	
 296.79 	-0.00186769 	
 307.204 	-0.00185849 	
 317.041 	-0.00181797 	
 327.271 	-0.00175115 	
 337.229 	-0.00174178 	
 347.217 	-0.00171584 	
 357.522 	-0.00164236 	
 367.484 	-0.00164364 	
 377.416 	-0.00162453 	
 387.69 	-0.00163675 	
 397.733 	-0.0015726 	
