Start Time:  5/5/2017 9:58:54 AM          Time Completed:  5/5/2017 10:00:30 AM     Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0299B\FORCexp0299B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#597.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#597.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0299B\FORCexp0299B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#597.dat

***DATA***

Field(G)	 Moment(emu)	
-1911.11 	-0.00464342 	
-1904.06 	-0.00466633 	
-1894.5 	-0.00461472 	
-1884.05 	-0.00461186 	
-1874.05 	-0.00460139 	
-1864.1 	-0.00464217 	
-1853.72 	-0.00456913 	
-1843.64 	-0.00457011 	
-1833.23 	-0.00456005 	
-1823.64 	-0.0045578 	
-1813.49 	-0.0045464 	
-1803.36 	-0.00455795 	
-1793.01 	-0.00456035 	
-1783.27 	-0.00455538 	
-1773.34 	-0.0045307 	
-1762.81 	-0.00454907 	
-1752.77 	-0.00455902 	
-1743.04 	-0.00453575 	
-1732.55 	-0.00453204 	
-1722.49 	-0.0045476 	
-1712.62 	-0.00451241 	
-1702.57 	-0.00453067 	
-1692.12 	-0.00451188 	
-1682.27 	-0.00448966 	
-1672.37 	-0.0044868 	
-1661.98 	-0.00448079 	
-1651.98 	-0.0044767 	
-1641.66 	-0.00449157 	
-1631.81 	-0.0044885 	
-1621.97 	-0.00451071 	
-1611.57 	-0.00448372 	
-1601.45 	-0.00446112 	
-1591.64 	-0.00447063 	
-1581.59 	-0.00448271 	
-1570.99 	-0.00448425 	
-1561.31 	-0.00442456 	
-1551.48 	-0.00444666 	
-1540.88 	-0.00441281 	
-1531.1 	-0.0044366 	
-1521.09 	-0.00444356 	
-1510.98 	-0.00442242 	
-1500.71 	-0.0043833 	
-1490.61 	-0.00438997 	
-1480.59 	-0.00436481 	
-1470.72 	-0.00441847 	
-1460.53 	-0.00438075 	
-1450.19 	-0.00441714 	
