Start Time:  5/5/2017 1:34:38 AM          Time Completed:  5/5/2017 1:35:04 AM      Elapsed Time:  00:00:26
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0033B\FORCexp0033B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#65.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#65.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0033B\FORCexp0033B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#65.dat

***DATA***

Field(G)	 Moment(emu)	
 777.173 	 0.00402831 	
 783.651 	 0.00401469 	
 792.991 	 0.0040502 	
 802.946 	 0.00407117 	
 812.898 	 0.00406282 	
 823.179 	 0.00404288 	
 833.131 	 0.00405516 	
 842.857 	 0.0040445 	
 853.095 	 0.00406323 	
 863.011 	 0.00406584 	
 872.781 	 0.0041128 	
 882.982 	 0.00411424 	
 893.094 	 0.00410214 	
 903.02 	 0.00411789 	
 912.79 	 0.00413044 	
 922.757 	 0.00412364 	
 932.66 	 0.00415342 	
 943.003 	 0.0041742 	
 952.836 	 0.00413138 	
 962.445 	 0.00414196 	
 972.843 	 0.00415854 	
 982.723 	 0.00418738 	
 992.377 	 0.00416118 	
 1002.62 	 0.0042106 	
 1012.73 	 0.00421124 	
 1022.4 	 0.00421478 	
 1032.69 	 0.00420683 	
 1042.37 	 0.00422102 	
 1052.34 	 0.00420124 	
 1062.49 	 0.00421447 	
 1072.28 	 0.00421397 	
 1082.1 	 0.00426485 	
 1092.47 	 0.00423975 	
 1102.22 	 0.00425924 	
 1112.08 	 0.00428198 	
 1122.15 	 0.00426675 	
 1132.13 	 0.00426488 	
 1142.04 	 0.00423475 	
 1151.92 	 0.00429302 	
 1162.08 	 0.00429156 	
 1172 	 0.0043004 	
 1181.81 	 0.00431942 	
 1192.12 	 0.00428773 	
 1201.69 	 0.00429252 	
 1211.63 	 0.00432161 	
 1221.63 	 0.00432272 	
 1231.83 	 0.00433006 	
 1241.53 	 0.00431194 	
 1251.4 	 0.00434662 	
 1261.65 	 0.00433945 	
 1271.59 	 0.00435317 	
 1281.36 	 0.00437208 	
 1291.44 	 0.00439435 	
 1301.5 	 0.00436848 	
 1311.18 	 0.00434788 	
 1321.12 	 0.00436089 	
 1331.45 	 0.00439135 	
 1341.33 	 0.0044079 	
 1351.33 	 0.00436742 	
 1361.02 	 0.00443856 	
 1370.84 	 0.00438734 	
 1381.16 	 0.00441978 	
 1391.02 	 0.00442795 	
 1400.87 	 0.00446088 	
 1410.98 	 0.00441463 	

	
	
