Start Time:  5/5/2017 11:58:33 AM         Time Completed:  5/5/2017 12:00:08 PM     Elapsed Time:  00:01:35
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0353B\FORCexp0353B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#705.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#705.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0353B\FORCexp0353B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#705.dat

***DATA***

Field(G)	 Moment(emu)	
-2456.4 	-0.00474513 	
-2448.33 	-0.00478425 	
-2438.34 	-0.00483915 	
-2428.6 	-0.00485717 	
-2418.39 	-0.00482799 	
-2407.98 	-0.00479379 	
-2398.09 	-0.00480281 	
-2387.69 	-0.00477333 	
-2377.68 	-0.00479324 	
-2367.77 	-0.00480663 	
-2357.72 	-0.00475474 	
-2347.6 	-0.00479332 	
-2337.34 	-0.00480038 	
-2327.36 	-0.00479191 	
-2317.41 	-0.00478452 	
-2306.85 	-0.00480426 	
-2297.16 	-0.00475981 	
-2287.32 	-0.00480135 	
-2276.89 	-0.00476635 	
-2266.66 	-0.00479742 	
-2256.9 	-0.00475632 	
-2246.88 	-0.0048042 	
-2236.37 	-0.00474719 	
-2226.3 	-0.00472899 	
-2216.46 	-0.00473827 	
-2206.45 	-0.00475073 	
-2196.4 	-0.00475138 	
-2185.94 	-0.00473372 	
-2176.19 	-0.00475671 	
-2166.2 	-0.00469432 	
-2155.89 	-0.00474085 	
-2145.95 	-0.00473185 	
-2135.62 	-0.00471916 	
-2125.82 	-0.00469746 	
-2115.84 	-0.00474986 	
-2105.39 	-0.0047118 	
-2095.29 	-0.00471055 	
-2085.26 	-0.00470772 	
-2075.34 	-0.00472064 	
-2065.28 	-0.00468673 	
-2055.2 	-0.00468729 	
-2044.99 	-0.00469072 	
-2035.14 	-0.00469855 	
-2025.03 	-0.0046636 	
-2014.65 	-0.00467822 	
-2004.68 	-0.00467012 	
-1994.7 	-0.00466015 	
-1984.41 	-0.00472177 	
-1974.5 	-0.00466069 	
-1964.63 	-0.0047117 	
-1954.17 	-0.00466389 	
-1944.13 	-0.00467301 	
-1934.06 	-0.00465473 	
-1924.17 	-0.0046831 	
-1914.18 	-0.00464784 	
-1903.91 	-0.00461947 	
-1893.65 	-0.00462922 	
-1883.92 	-0.00464232 	
-1873.82 	-0.00466962 	
-1863.37 	-0.00459275 	
-1853.6 	-0.00459586 	
-1843.68 	-0.00461472 	
-1833.25 	-0.00460928 	
-1823.33 	-0.00461305 	
-1813.25 	-0.00462986 	
-1803.05 	-0.0045655 	
-1792.98 	-0.00458127 	
-1782.63 	-0.00458405 	
-1772.97 	-0.00462795 	
-1762.8 	-0.00457895 	
-1752.81 	-0.00461375 	
-1742.59 	-0.00454545 	
-1732.71 	-0.0045621 	
-1722.72 	-0.00456642 	
-1712.3 	-0.0045757 	
-1702.26 	-0.00455834 	
-1692.33 	-0.00458599 	
-1682.11 	-0.00453136 	
-1672.06 	-0.00455737 	
-1662.14 	-0.00455804 	
-1652.12 	-0.00455424 	
-1641.71 	-0.00456393 	
-1631.85 	-0.00456591 	
-1621.56 	-0.00451422 	
-1611.65 	-0.00453626 	
-1601.75 	-0.00451938 	
-1591.34 	-0.00454313 	
-1581.44 	-0.00450849 	
-1571.51 	-0.00447872 	
-1561.17 	-0.00448373 	
-1551.14 	-0.0044869 	
-1541.13 	-0.00447634 	
-1531.2 	-0.0044582 	
-1520.67 	-0.00449675 	
-1510.86 	-0.00447478 	
-1501.03 	-0.00444455 	
-1490.55 	-0.00445439 	
-1480.63 	-0.0044659 	
-1470.39 	-0.00445932 	
-1460.47 	-0.00448405 	
-1450.56 	-0.00445131 	
-1440.16 	-0.00442557 	
-1430.24 	-0.00444608 	
-1420.31 	-0.00439748 	
-1409.99 	-0.00443985 	
-1399.94 	-0.00444378 	
-1389.99 	-0.00441707 	
-1380.03 	-0.00438394 	
-1369.57 	-0.00441674 	
-1359.7 	-0.00442254 	
-1349.85 	-0.00438542 	
-1339.33 	-0.00436765 	
-1329.56 	-0.0043774 	
-1319.7 	-0.00437217 	
-1309.45 	-0.00435588 	
-1299.13 	-0.00438789 	
-1289.06 	-0.00437897 	
-1279.09 	-0.00431582 	
-1269.16 	-0.00435656 	
-1259.07 	-0.00430639 	
-1248.67 	-0.00429025 	
-1238.89 	-0.00429165 	
-1228.93 	-0.00432176 	
-1218.47 	-0.00430917 	
-1208.62 	-0.00429774 	
-1198.7 	-0.0043199 	
-1188.33 	-0.00429198 	
-1178.23 	-0.0043155 	
-1168.34 	-0.00432146 	
-1158.28 	-0.00428107 	
-1147.96 	-0.00426177 	
-1137.96 	-0.00423595 	
-1127.81 	-0.00423521 	
-1118.04 	-0.00428254 	
-1107.85 	-0.0042488 	
-1097.77 	-0.0042599 	
-1087.78 	-0.00423801 	
-1077.54 	-0.00420996 	
-1067.69 	-0.00422741 	
-1057.56 	-0.00417041 	
-1047.32 	-0.00422326 	
-1037.3 	-0.00420924 	
-1027.02 	-0.00417353 	
-1017.11 	-0.00418723 	
-1007.23 	-0.00419803 	
-996.934 	-0.00415408 	
-986.841 	-0.00416698 	
-977.088 	-0.00416528 	
-966.717 	-0.00417395 	
-956.507 	-0.00414634 	
-946.878 	-0.00415919 	
-936.617 	-0.00407756 	
-926.267 	-0.00414035 	
-916.38 	-0.00413947 	
-906.5 	-0.00409569 	
-896.112 	-0.00410613 	
-886.143 	-0.00409658 	
-876.136 	-0.00407385 	
-865.802 	-0.00410662 	
-855.95 	-0.00405252 	
-845.758 	-0.00405429 	
-835.778 	-0.00408693 	
-825.853 	-0.00406888 	
-815.52 	-0.00404176 	
-805.506 	-0.00404007 	
-795.592 	-0.00405386 	
-785.568 	-0.00399056 	
-775.121 	-0.00401936 	
-765.252 	-0.00404727 	
-755.386 	-0.00403445 	
-744.891 	-0.00403192 	
-735.129 	-0.00398048 	
-724.975 	-0.00395194 	
-714.684 	-0.00397338 	
-704.905 	-0.00395802 	
-694.535 	-0.00395463 	
-684.546 	-0.00392016 	
-674.626 	-0.00390269 	
-664.603 	-0.00386938 	
-654.246 	-0.00390389 	
-644.357 	-0.00381294 	
-634.44 	-0.00381583 	
-623.985 	-0.00382927 	
-614.109 	-0.00385106 	
-604.113 	-0.00387356 	
-594.066 	-0.00386693 	
-583.871 	-0.00378246 	
-573.807 	-0.00384883 	
-563.777 	-0.00382562 	
-553.551 	-0.00378659 	
-543.614 	-0.00383387 	
-533.697 	-0.00377976 	
-523.464 	-0.00370217 	
-513.259 	-0.00378035 	
-503.476 	-0.00374236 	
-493.302 	-0.00372615 	
-483.068 	-0.00374375 	
-473.006 	-0.00371002 	
-463.225 	-0.00371575 	
-452.655 	-0.00376268 	
-442.915 	-0.00375119 	
-432.489 	-0.00368293 	
-422.752 	-0.00367986 	
-412.779 	-0.00369329 	
-402.277 	-0.00364614 	
-392.424 	-0.00360949 	
-382.578 	-0.00366755 	
-372.028 	-0.00363806 	
-362.289 	-0.00360309 	
-352.347 	-0.00358997 	
-342.155 	-0.00360987 	
-331.777 	-0.0035899 	
-321.845 	-0.00354465 	
