Start Time:  5/5/2017 1:09:10 PM          Time Completed:  5/5/2017 1:10:46 PM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0384B\FORCexp0384B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#767.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#767.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0384B\FORCexp0384B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#767.dat

***DATA***

Field(G)	 Moment(emu)	
-2770.92 	-0.00490989 	
-2764.74 	-0.00482821 	
-2755.36 	-0.00490202 	
-2745.16 	-0.00488593 	
-2734.96 	-0.00488982 	
-2725 	-0.00487629 	
-2714.83 	-0.00491406 	
-2704.49 	-0.00486421 	
-2694.61 	-0.0049038 	
-2684.55 	-0.004869 	
-2674.2 	-0.00491122 	
-2664.22 	-0.00487978 	
-2654.37 	-0.00489033 	
-2644.08 	-0.00485195 	
-2634.03 	-0.00487313 	
-2623.71 	-0.00484379 	
-2613.88 	-0.00488231 	
-2603.8 	-0.00489606 	
-2593.59 	-0.00487143 	
-2583.49 	-0.00483252 	
-2573.61 	-0.0048432 	
-2563.52 	-0.0048443 	
-2553.06 	-0.00480883 	
-2543.24 	-0.00484797 	
-2533.4 	-0.00488284 	
-2522.82 	-0.00485624 	
-2512.98 	-0.00486938 	
-2503.05 	-0.00487098 	
-2492.7 	-0.0048172 	
-2482.61 	-0.00482935 	
-2472.71 	-0.00486689 	
-2462.5 	-0.00485479 	
-2452.49 	-0.00483688 	
-2442.54 	-0.00484718 	
-2431.95 	-0.004787 	
-2422.28 	-0.00481715 	
-2412.32 	-0.00482504 	
-2401.98 	-0.00477865 	
-2391.99 	-0.00478322 	
-2382.07 	-0.0048089 	
-2371.83 	-0.00481073 	
-2361.61 	-0.00477045 	
-2351.64 	-0.00479887 	
-2341.62 	-0.00476858 	
-2331.41 	-0.0047802 	
-2321.44 	-0.00476142 	
-2311.41 	-0.00478979 	
-2301.16 	-0.00479391 	
-2291.08 	-0.00476821 	
-2281.26 	-0.00476028 	
-2270.98 	-0.00475496 	
-2260.82 	-0.0047895 	
-2250.99 	-0.00479453 	
-2240.96 	-0.00482446 	
-2230.47 	-0.00477273 	
-2220.75 	-0.00475987 	
-2210.67 	-0.0047477 	
-2200.36 	-0.00473006 	
-2190.5 	-0.00474357 	
-2180.49 	-0.00474139 	
-2170.46 	-0.00474131 	
-2160.1 	-0.00475817 	
-2149.99 	-0.00475712 	
-2139.86 	-0.00474474 	
-2129.96 	-0.00472482 	
-2120.08 	-0.00474588 	
-2109.62 	-0.00475335 	
-2099.75 	-0.00470335 	
-2089.79 	-0.00473763 	
-2079.4 	-0.0047323 	
-2069.46 	-0.00472246 	
-2059.52 	-0.00469487 	
-2049.29 	-0.00473199 	
-2039.19 	-0.00467652 	
-2029.34 	-0.00470562 	
-2019.16 	-0.00468734 	
-2008.92 	-0.00472424 	
-1998.72 	-0.00467444 	
-1988.74 	-0.00467534 	
-1978.61 	-0.00465564 	
-1968.89 	-0.00467758 	
-1958.49 	-0.00469 	
-1948.51 	-0.00467297 	
-1938.62 	-0.00461275 	
-1928.45 	-0.00464453 	
-1918.22 	-0.00464858 	
-1908.41 	-0.0046729 	
-1898.24 	-0.00462768 	
-1888.09 	-0.00463973 	
-1878.02 	-0.00462978 	
-1868.01 	-0.00462452 	
-1857.64 	-0.00464993 	
-1847.81 	-0.00461059 	
-1837.65 	-0.00464292 	
-1827.64 	-0.00460055 	
-1817.39 	-0.0046025 	
-1807.12 	-0.00459096 	
-1797.42 	-0.00462041 	
-1787.57 	-0.00457909 	
-1777.34 	-0.00460013 	
-1766.88 	-0.00460175 	
-1757.17 	-0.00456711 	
-1747.23 	-0.00458145 	
-1736.67 	-0.00462117 	
-1726.86 	-0.00457606 	
-1716.89 	-0.0045842 	
-1706.56 	-0.0045885 	
-1696.48 	-0.00457514 	
-1686.57 	-0.00450552 	
-1676.6 	-0.00454795 	
-1666.17 	-0.00453058 	
-1656.28 	-0.00457102 	
-1646.1 	-0.00457931 	
-1636.2 	-0.00454439 	
-1626.22 	-0.00452997 	
-1615.71 	-0.00452658 	
-1605.9 	-0.00452701 	
-1596.01 	-0.00453354 	
-1585.55 	-0.00451412 	
-1575.71 	-0.00451333 	
-1565.7 	-0.00453016 	
-1555.55 	-0.00452259 	
-1545.37 	-0.00450647 	
-1535.25 	-0.00447085 	
-1525.27 	-0.00451091 	
-1515.22 	-0.00447764 	
-1505.09 	-0.00449312 	
-1494.93 	-0.00443868 	
-1484.93 	-0.004405 	
-1475.02 	-0.00443871 	
-1464.64 	-0.00443411 	
-1454.92 	-0.00442264 	
-1444.8 	-0.00446155 	
-1434.61 	-0.00446262 	
-1424.49 	-0.00447353 	
-1414.2 	-0.00446585 	
-1404.3 	-0.00446488 	
-1394.45 	-0.00443582 	
-1384.13 	-0.00446473 	
-1374.03 	-0.00442275 	
-1364.14 	-0.00441341 	
-1354.13 	-0.00443136 	
-1343.79 	-0.00444352 	
-1333.8 	-0.00438978 	
-1324.02 	-0.00435823 	
-1313.51 	-0.00439398 	
-1303.54 	-0.00438707 	
-1293.74 	-0.00439139 	
-1283.17 	-0.0043456 	
-1273.57 	-0.00436396 	
-1263.13 	-0.00437494 	
-1253.19 	-0.004417 	
-1243.34 	-0.00436653 	
-1232.97 	-0.0043572 	
-1222.96 	-0.00435722 	
-1212.99 	-0.00433559 	
-1202.92 	-0.00431438 	
-1192.54 	-0.00435909 	
-1182.72 	-0.00433761 	
-1172.82 	-0.00431874 	
-1162.4 	-0.00431526 	
-1152.5 	-0.00432441 	
-1142.63 	-0.00431009 	
-1132.25 	-0.0042763 	
-1122.19 	-0.00424695 	
-1112.05 	-0.00425465 	
-1102.11 	-0.00426161 	
-1092.17 	-0.00424088 	
-1082 	-0.00425646 	
-1071.62 	-0.0043011 	
-1061.97 	-0.00424032 	
-1051.8 	-0.00422611 	
-1041.44 	-0.00423475 	
-1031.66 	-0.00416774 	
-1021.59 	-0.00425072 	
-1011.35 	-0.00421685 	
-1001.33 	-0.00420746 	
-991.209 	-0.00415804 	
-981.078 	-0.00419613 	
-971.041 	-0.00420765 	
-961.147 	-0.00413983 	
-951.116 	-0.00411327 	
-940.927 	-0.00414107 	
-930.827 	-0.00413031 	
-920.6 	-0.00414206 	
-910.597 	-0.00415265 	
-900.734 	-0.00416081 	
-890.432 	-0.00409369 	
-880.494 	-0.00406277 	
-870.476 	-0.00409708 	
-860.39 	-0.00408748 	
-850.04 	-0.00410913 	
-840.136 	-0.00408572 	
-830.294 	-0.00407215 	
-819.83 	-0.00402029 	
-809.881 	-0.00407483 	
-799.977 	-0.00406458 	
-789.675 	-0.00401179 	
-779.654 	-0.00403685 	
-769.713 	-0.00402199 	
-759.373 	-0.00401878 	
-749.465 	-0.00403534 	
-739.232 	-0.00402696 	
-729.233 	-0.0039932 	
-719.337 	-0.00397616 	
-709.269 	-0.00395667 	
-698.834 	-0.00395871 	
-689.079 	-0.0039551 	
-679.049 	-0.00400652 	
-668.603 	-0.00394309 	
-658.848 	-0.00394535 	
-648.8 	-0.003859 	
-638.585 	-0.00386306 	
-628.407 	-0.00386368 	
-618.539 	-0.003874 	
-608.57 	-0.00389683 	
-598.18 	-0.00389581 	
-588.074 	-0.00387412 	
-578.034 	-0.0038465 	
-568.206 	-0.00380291 	
-558.248 	-0.00379554 	
-547.552 	-0.00385571 	
-537.999 	-0.00386135 	
-527.901 	-0.00381122 	
-517.452 	-0.00381387 	
-507.748 	-0.00380485 	
-497.75 	-0.00379703 	
-487.368 	-0.00376438 	
-477.381 	-0.00377346 	
-467.127 	-0.0037801 	
-457.408 	-0.00378908 	
-447.297 	-0.00368384 	
-437.269 	-0.00362231 	
-426.939 	-0.00364255 	
-416.915 	-0.00368579 	
-407.099 	-0.00365573 	
-396.529 	-0.00365633 	
-386.7 	-0.00370903 	
-376.984 	-0.00357191 	
-366.518 	-0.00358337 	
-356.498 	-0.00367484 	
-346.638 	-0.00370028 	
-336.48 	-0.00363857 	
-326.123 	-0.00367866 	
-316.051 	-0.00349703 	
-306.051 	-0.003574 	
-296.105 	-0.00356128 	
-286.174 	-0.0035457 	
-275.793 	-0.00351343 	
-265.846 	-0.00339819 	
-255.612 	-0.00346106 	
-245.779 	-0.00352654 	
-235.795 	-0.00341606 	
-225.286 	-0.00339657 	
-215.443 	-0.0034507 	
-205.577 	-0.00349678 	
-195.193 	-0.00338787 	
-185.139 	-0.00344209 	
-175.333 	-0.00343802 	
-164.884 	-0.0034183 	
-154.885 	-0.00341542 	
-144.806 	-0.00332509 	
-134.824 	-0.00339176 	
-124.932 	-0.00335769 	
-114.555 	-0.00342468 	
-104.655 	-0.00342547 	
-94.5974 	-0.0034048 	
-84.6635 	-0.00339226 	
-74.3727 	-0.0033673 	
-64.3087 	-0.00322894 	
-54.4817 	-0.00323517 	
-44.1912 	-0.00326658 	
-34.2165 	-0.00310078 	
-24.2844 	-0.00316994 	
-14.0175 	-0.00306073 	
-3.43068 	-0.00313008 	
 6.52121 	-0.00323561 	
 16.358 	-0.00308237 	
 26.3831 	-0.00317261 	
 36.2065 	-0.00309209 	
 46.8717 	-0.00312526 	
 56.6275 	-0.00306766 	
 66.4724 	-0.00303439 	
 76.5302 	-0.00299136 	
 86.9962 	-0.00304796 	
 96.6917 	-0.00302698 	
 106.909 	-0.00303674 	
 117.09 	-0.00286744 	
 127.099 	-0.00299354 	
 137.003 	-0.00290041 	
 147.302 	-0.00296969 	
 157.297 	-0.00279752 	
 167.773 	-0.00291161 	

	
	
